GRUPA,MD5,ROZMIAR,SCIEZKA,MTIME
1,ce0745923e7e236ee7d199a1182e0b09,9289917,/home/piotr/Pobrane/Gemini_Generated_Image_qggsj6qggsj6qggs (1).png,2026-06-01 15:13:51
1,ce0745923e7e236ee7d199a1182e0b09,9289917,/home/piotr/Pobrane/Gemini_Generated_Image_qggsj6qggsj6qggs.png,2026-06-01 15:13:19
2,f205a8ea19cd2c241fb0e223b8b9cf9f,6979152,/home/piotr/Pobrane/Mapa kolor wydruk(1).png,2025-10-21 10:17:05
2,f205a8ea19cd2c241fb0e223b8b9cf9f,6979152,/home/piotr/Pobrane/Mapa kolor wydruk(2).png,2025-10-29 15:52:22
2,f205a8ea19cd2c241fb0e223b8b9cf9f,6979152,/home/piotr/Pobrane/Mapa kolor wydruk(3).png,2025-10-29 15:54:45
2,f205a8ea19cd2c241fb0e223b8b9cf9f,6979152,/home/piotr/Pobrane/Mapa kolor wydruk.png,2025-10-21 10:16:15
3,93ec2ed2476e0ec02a3721cebc0563dd,6810734,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_114626.jpg,2026-07-13 11:46:32
3,93ec2ed2476e0ec02a3721cebc0563dd,6810734,/home/piotr/Pobrane/20260713_114626.jpg,2026-07-15 13:14:10
4,5e6e14cf785549a55e6b84f00c48a832,6063188,/home/piotr/Pobrane/Warszawa BEMOWO.png obrazy_3(1).png,2025-10-29 17:15:22
4,5e6e14cf785549a55e6b84f00c48a832,6063188,/home/piotr/Pobrane/Warszawa BEMOWO.png obrazy_3.png,2025-10-29 16:24:06
5,6d834bfe6ffb7991851e1d83e0768280,5655965,/home/piotr/Pobrane/drzewa warszawa (1).png,2026-01-15 10:42:59
5,6d834bfe6ffb7991851e1d83e0768280,5655965,/home/piotr/Pobrane/drzewa warszawa.png,2025-10-29 16:06:56
6,d6460bc3c3cca78a793783895e4c8b70,4638670,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_114511.jpg,2026-07-13 11:45:12
6,d6460bc3c3cca78a793783895e4c8b70,4638670,/home/piotr/Pobrane/20260713_114511.jpg,2026-07-15 13:14:05
7,501a06c56188fd360cd68855bf28ee69,4094486,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_114600.jpg,2026-07-13 11:46:02
7,501a06c56188fd360cd68855bf28ee69,4094486,/home/piotr/Pobrane/20260713_114600.jpg,2026-07-15 13:14:10
8,98ae4397fb871ff2d7b6aaab38175837,3909769,/home/piotr/Pobrane/podstawy systemów informacji geograficznej zadanie 2 1na5(1).jpeg,2025-10-29 17:04:19
8,98ae4397fb871ff2d7b6aaab38175837,3909769,/home/piotr/Pobrane/podstawy systemów informacji geograficznej zadanie 2 1na5(2).jpeg,2025-10-29 17:04:56
8,98ae4397fb871ff2d7b6aaab38175837,3909769,/home/piotr/Pobrane/podstawy systemów informacji geograficznej zadanie 2 1na5.jpeg,2025-10-29 17:04:14
9,cc5418f96ccbf9af44106f2f731392bf,3266355,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_120921.jpg,2026-07-13 12:09:22
9,cc5418f96ccbf9af44106f2f731392bf,3266355,/home/piotr/Pobrane/20260713_120921.jpg,2026-07-15 13:14:20
10,48c6811bb7dfc7f1d04d1d38682d9ac1,3214962,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_120410.jpg,2026-07-13 12:04:11
10,48c6811bb7dfc7f1d04d1d38682d9ac1,3214962,/home/piotr/Pobrane/20260713_120410.jpg,2026-07-15 13:14:17
11,91496b5b4d5c770095041902d50a0d8e,3208995,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_115146.jpg,2026-07-13 11:51:47
11,91496b5b4d5c770095041902d50a0d8e,3208995,/home/piotr/Pobrane/20260713_115146.jpg,2026-07-15 13:14:17
12,c8a6eff5d7e1b14f4098bf37b9e309e0,3132952,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_114807.jpg,2026-07-13 11:48:07
12,c8a6eff5d7e1b14f4098bf37b9e309e0,3132952,/home/piotr/Pobrane/20260713_114807.jpg,2026-07-15 13:14:11
13,6e47b494f603b6e5fe92a95c4a95a91d,3119372,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_120923.jpg,2026-07-13 12:09:23
13,6e47b494f603b6e5fe92a95c4a95a91d,3119372,/home/piotr/Pobrane/20260713_120923.jpg,2026-07-15 13:14:20
14,49ba13845d7ad451b7536b4ed08f643b,3100038,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_114955.jpg,2026-07-13 11:49:56
14,49ba13845d7ad451b7536b4ed08f643b,3100038,/home/piotr/Pobrane/20260713_114955.jpg,2026-07-15 13:14:14
15,dca5b1ef600f7ec8c12d7d4d959e4737,3093935,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_112800.jpg,2026-07-13 11:28:01
15,dca5b1ef600f7ec8c12d7d4d959e4737,3093935,/home/piotr/Pobrane/20260713_112800.jpg,2026-07-15 13:13:55
16,e0fd5e06149197119e218cf6602397e9,3079055,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_114813.jpg,2026-07-13 11:48:14
16,e0fd5e06149197119e218cf6602397e9,3079055,/home/piotr/Pobrane/20260713_114813.jpg,2026-07-15 13:14:11
17,eaf4b3b3786b9a455d7b6f989a7b1dd0,3053416,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_114825.jpg,2026-07-13 11:48:25
17,eaf4b3b3786b9a455d7b6f989a7b1dd0,3053416,/home/piotr/Pobrane/20260713_114825.jpg,2026-07-15 13:14:12
18,bfea6684a913e6a3f5aee31691743d94,3046025,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_120929.jpg,2026-07-13 12:09:30
18,bfea6684a913e6a3f5aee31691743d94,3046025,/home/piotr/Pobrane/20260713_120929.jpg,2026-07-15 13:14:20
19,7f88f748c778d392353542a236638607,3031896,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_120444.jpg,2026-07-13 12:04:45
19,7f88f748c778d392353542a236638607,3031896,/home/piotr/Pobrane/20260713_120444.jpg,2026-07-15 13:14:20
20,6d7683f15dd871f62c3ca1c2c12e45b0,3027329,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_114944.jpg,2026-07-13 11:49:45
20,6d7683f15dd871f62c3ca1c2c12e45b0,3027329,/home/piotr/Pobrane/20260713_114944.jpg,2026-07-15 13:14:13
21,56b39aac64e29d3cd06da20d32b51909,3024950,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_114249.jpg,2026-07-13 11:42:50
21,56b39aac64e29d3cd06da20d32b51909,3024950,/home/piotr/Pobrane/20260713_114249.jpg,2026-07-15 13:14:04
22,1ede91fdfef8dba6a6781706fcd6b30f,2991158,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_114246.jpg,2026-07-13 11:42:47
22,1ede91fdfef8dba6a6781706fcd6b30f,2991158,/home/piotr/Pobrane/20260713_114246.jpg,2026-07-15 13:14:03
23,a276627c65e6fa8fe9650087095078bb,2987786,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_114840.jpg,2026-07-13 11:48:41
23,a276627c65e6fa8fe9650087095078bb,2987786,/home/piotr/Pobrane/20260713_114840.jpg,2026-07-15 13:14:12
24,82729cb47647651469a9988f88b6645a,2981644,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_110919.jpg,2026-07-13 11:09:20
24,82729cb47647651469a9988f88b6645a,2981644,/home/piotr/Pobrane/20260713_110919.jpg,2026-07-15 13:13:52
25,8160660ca74185872aa80adaa995d89b,2950104,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_115039.jpg,2026-07-13 11:50:40
25,8160660ca74185872aa80adaa995d89b,2950104,/home/piotr/Pobrane/20260713_115039.jpg,2026-07-15 13:14:15
26,6abbf86f1cfc3c134b17c2051164aeb1,2928748,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_114522.jpg,2026-07-13 11:45:23
26,6abbf86f1cfc3c134b17c2051164aeb1,2928748,/home/piotr/Pobrane/20260713_114522.jpg,2026-07-15 13:14:06
27,cc5a58c47510cf90b7d178d7d87fe090,2902079,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_110951.jpg,2026-07-13 11:09:52
