# spis zdjęć 2026-08-31 17:53
# korzenie: /DATA/APPL/ZZW_Parki_2026 | /home/piotr/WorkField_zwroty | /home/piotr/Pobrane
# plików: 1742, razem: 8.0 GB
# sciezka	rozmiar	mtime	md5	warstwa	klucz	czas	w_bazie
/DATA/APPL/ZZW_Parki_2026/APPL ZZW Parki2026 Projekt SLIM 2026-07-27.qgz.png	567363	2026-07-31 10:43:24					
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_054615.jpg	6838109	2026-07-15 05:46:18					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_054626.jpg	6837158	2026-07-15 05:46:28					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_054653.jpg	6852254	2026-07-15 05:46:54					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_054729.jpg	6276767	2026-07-15 05:47:32					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_054857.jpg	6613852	2026-07-15 05:48:59					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_054909.jpg	6527595	2026-07-15 05:49:11					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_054914.jpg	6482452	2026-07-15 05:49:16					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_054928.jpg	6724207	2026-07-15 05:49:30					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055001.jpg	2632776	2026-07-15 05:50:03					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055013.jpg	2584913	2026-07-15 05:50:14					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055021.jpg	2278728	2026-07-15 05:50:22					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055030.jpg	2267724	2026-07-15 05:50:30					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055056.jpg	2602002	2026-07-15 05:50:57					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055116.jpg	1904220	2026-07-15 05:51:16					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055127.jpg	2737061	2026-07-15 05:51:27					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055135.jpg	2616023	2026-07-15 05:51:36					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055156.jpg	2712676	2026-07-15 05:51:57					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055216.jpg	2375316	2026-07-15 05:52:17					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055225.jpg	2470034	2026-07-15 05:52:26					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055236.jpg	2344976	2026-07-15 05:52:37					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055244(0).jpg	2441705	2026-07-15 05:52:46					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055244.jpg	2411895	2026-07-15 05:52:45					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055253.jpg	2308575	2026-07-15 05:52:54					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055302.jpg	2350372	2026-07-15 05:53:03					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055317.jpg	2108618	2026-07-15 05:53:18					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055324.jpg	2585306	2026-07-15 05:53:25					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055328.jpg	2359568	2026-07-15 05:53:29					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055406.jpg	2401635	2026-07-15 05:54:06					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055408.jpg	2565712	2026-07-15 05:54:09					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055503.jpg	4482004	2026-07-15 05:55:04					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055524.jpg	2552011	2026-07-15 05:55:25					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055539.jpg	2384704	2026-07-15 05:55:40					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055543.jpg	3884162	2026-07-15 05:55:44					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055545.jpg	4387777	2026-07-15 05:55:45					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055600.jpg	2274583	2026-07-15 05:56:01					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055605.jpg	2453433	2026-07-15 05:56:05					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055607.jpg	2655001	2026-07-15 05:56:07					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055611.jpg	2120903	2026-07-15 05:56:11					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055617.jpg	3102573	2026-07-15 05:56:17					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055654.jpg	3935474	2026-07-15 05:56:55					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055705.jpg	4399614	2026-07-15 05:57:05					pole
/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PGRS/20260715_055729.jpg	2928191	2026-07-15 05:57:30					pole
