ZALACZNIK;LP;GROMADA;RODZINA;NAZWA_PL;NAZWA_LAT;SYNONIM;OCHRONA;OCHRONA_CZYNNA;ADNOTACJE;POZYSKIWANIE;ZRODLO;WERYFIKACJA
1;1;BRUNATNICE (PHAEOPHYTA);morszczynowate (Fucaceae);morszczyn pęcherzykowaty;Fucus vesiculosus;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;2;KRASNOROSTY (RHODOPHYTA);hildenbrandiowate (Hildenbrandiaceae);hildenbrandia rzeczna;Hildenbrandtia rivularis;;scisla;;;;Dz.U. 2014 poz. 1409;
1;3;KRASNOROSTY (RHODOPHYTA);rozróżkowate (Ceramiaceae);rozróżka *;Ceramium diaphanum;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;4;KRASNOROSTY (RHODOPHYTA);rozróżkowate (Ceramiaceae);rozróżka *;Ceramium rubrum;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;5;KRASNOROSTY (RHODOPHYTA);rozróżkowate (Ceramiaceae);rozróżka *;Ceramium tenuicorne;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;6;KRASNOROSTY (RHODOPHYTA);widlikowate (Furcellariaceae);widlik *;Furcellaria fastigiata;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;7;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);krynicznik ciemny;Nitella opaca;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;8;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);krynicznik cieniutki;Nitella tenuissima;;scisla;;;;Dz.U. 2014 poz. 1409;
1;9;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);krynicznik malutki;Nitella confervacea;N. batrachosperma;scisla;;3;;Dz.U. 2014 poz. 1409;
1;10;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);krynicznik obskubany;Nitella syncarpa;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;11;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);krynicznik przezroczysty;Nitella translucens;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;12;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);krynicznik smukły;Nitella gracilis;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;13;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);krynicznik włosowaty;Nitella capillaris;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;14;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);lychnotamnus brodaty;Lychnothamnus barbatus;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;15;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);ramienica cienkokolczasta;Chara tenuispina;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;16;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);ramienica grzywiasta;Chara crassicaulis;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;17;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);ramienica grubołodygowa;Chara filiformis;Ch. jubata;scisla;;3;;Dz.U. 2014 poz. 1409;
1;18;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);ramienica miotlasta;Chara bauerii;Ch. scoparia;scisla;;3;;Dz.U. 2014 poz. 1409;
1;19;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);ramienica szczeciniasta;Chara strigosa;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;20;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);ramienica szorstka;Chara aspera;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;21;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);ramienica wielokolczasta;Chara polyacantha;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;22;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);ramienica włochata;Chara canescens;Ch. crinita;scisla;;3;;Dz.U. 2014 poz. 1409;
1;23;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);ramienica zagięta;Chara connivens;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;24;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);ramienica zwyczajna;Chara rudis;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;25;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);rozsocha skupiona;Tolypella glomerata;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;26;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);rozsocha splątana;Tolypella intricata;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;27;RAMIENICE (CHAROPHYTA);ramienicowate (Characeae);rozsocha wielka;Tolypella prolifera;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;28;WĄTROBOWCE (MARCHANTIOPHYTA);beznerwowate (Aneuraceae);lśniątka zakrzywiona;Riccardia incurvata;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;29;WĄTROBOWCE (MARCHANTIOPHYTA);beznerwowate (Aneuraceae);lśniątka zatokowa;Riccardia chamedryfolia;;scisla;;3;;Dz.U. 2014 poz. 1409;
1;30;WĄTROBOWCE (MARCHANTIOPHYTA);czarostkowate (Fossombroniaceae);czarostka drobna;Fossombronia pusilla;;scisla;;;;Dz.U. 2014 poz. 1409;
1;31;WĄTROBOWCE (MARCHANTIOPHYTA);czarostkowate (Fossombroniaceae);czarostka jamkowata;Fossombronia foveolata;;scisla;;;;Dz.U. 2014 poz. 1409;
1;32;WĄTROBOWCE (MARCHANTIOPHYTA);czarostkowate (Fossombroniaceae);czarostka krzywa;Fossombronia incurva;;scisla;;;;Dz.U. 2014 poz. 1409;
1;33;WĄTROBOWCE (MARCHANTIOPHYTA);czubkowate (Lophoziaceae);czubek delikatny;Lophozia laxa;;scisla;;;;Dz.U. 2014 poz. 1409;
1;34;WĄTROBOWCE (MARCHANTIOPHYTA);czubkowate (Lophoziaceae);czubek długozębny;Lophozia longidens;;scisla;;;;Dz.U. 2014 poz. 1409;
1;35;WĄTROBOWCE (MARCHANTIOPHYTA);czubkowate (Lophoziaceae);czubek główkowaty;Lophozia capitata;;scisla;;;;Dz.U. 2014 poz. 1409;
1;36;WĄTROBOWCE (MARCHANTIOPHYTA);czubkowate (Lophoziaceae);czubek;Ruthego Lophozia rutheana;;scisla;;;;Dz.U. 2014 poz. 1409;
1;37;WĄTROBOWCE (MARCHANTIOPHYTA);czubkowate (Lophoziaceae);wieloklap;Kunzego Barbilophozia kunzeana;;scisla;;;;Dz.U. 2014 poz. 1409;
1;38;WĄTROBOWCE (MARCHANTIOPHYTA);czubkowate (Lophoziaceae);zgiętolist nadrzewny;Anastrophyllum hellerianum;;scisla;;;;Dz.U. 2014 poz. 1409;
1;39;WĄTROBOWCE (MARCHANTIOPHYTA);głowiakowate (Cephaloziaceae);bagniczka drobna;Cladopodiella francisci;;scisla;;;;Dz.U. 2014 poz. 1409;
1;40;WĄTROBOWCE (MARCHANTIOPHYTA);głowiakowate (Cephaloziaceae);bagniczka pływająca;Cladopodiella fluitans;;scisla;;;;Dz.U. 2014 poz. 1409;
1;41;WĄTROBOWCE (MARCHANTIOPHYTA);głowiakowate (Cephaloziaceae);głowiak buławkowaty;Cephalozia pleniceps;;scisla;;;;Dz.U. 2014 poz. 1409;
1;42;WĄTROBOWCE (MARCHANTIOPHYTA);głowiakowate (Cephaloziaceae);głowiak;Loitlesbergera Cephalozia loitlesbergeri;;scisla;;;;Dz.U. 2014 poz. 1409;
1;43;WĄTROBOWCE (MARCHANTIOPHYTA);głowiakowate (Cephaloziaceae);głowiak łańcuszkowaty;Cephalozia catenulata;;scisla;;;;Dz.U. 2014 poz. 1409;
1;44;WĄTROBOWCE (MARCHANTIOPHYTA);głowiakowate (Cephaloziaceae);natorfek nagi;Odontoschisma denudatum;;scisla;;;;Dz.U. 2014 poz. 1409;
1;45;WĄTROBOWCE (MARCHANTIOPHYTA);głowiakowate (Cephaloziaceae);natorfek torfowcowy;Odontoschisma sphagni;;scisla;;;;Dz.U. 2014 poz. 1409;
1;46;WĄTROBOWCE (MARCHANTIOPHYTA);jednoczepkowate (Haplomitriaceae);jednoczepek;Hookera Haplomitrium hookeri;;scisla;;;;Dz.U. 2014 poz. 1409;
1;47;WĄTROBOWCE (MARCHANTIOPHYTA);manniowate (Aytoniaceae);gwiaździanka workowata;Asterella saccata;;scisla;1;1;;Dz.U. 2014 poz. 1409;
1;48;WĄTROBOWCE (MARCHANTIOPHYTA);manniowate (Aytoniaceae);mannia pachnąca;Mannia fragrans;;scisla;1;1;;Dz.U. 2014 poz. 1409;
1;49;WĄTROBOWCE (MARCHANTIOPHYTA);manniowate (Aytoniaceae);rebulia półkulista;Reboulia hemisphaerica;;scisla;;;;Dz.U. 2014 poz. 1409;
1;50;WĄTROBOWCE (MARCHANTIOPHYTA);miedzikowate (Frullaniaceae);miedzik krucholistny;Frullania fragilifolia;;scisla;;;;Dz.U. 2014 poz. 1409;
1;51;WĄTROBOWCE (MARCHANTIOPHYTA);miedzikowate (Frullaniaceae);miedzik tamaryszkowy;Frullania tamarisci;;scisla;;;;Dz.U. 2014 poz. 1409;
1;52;WĄTROBOWCE (MARCHANTIOPHYTA);ostroczepkowate (Oxymitraceae);ostroczepek łuskowaty;Oxymitra incrassata;;scisla;1;1;;Dz.U. 2014 poz. 1409;
1;53;WĄTROBOWCE (MARCHANTIOPHYTA);pallawiciniowate (Pallaviciniaceae);merkia irlandzka;Moerckia hibernica;;scisla;;;;Dz.U. 2014 poz. 1409;
1;54;WĄTROBOWCE (MARCHANTIOPHYTA);pallawiciniowate (Pallaviciniaceae);pallawicinia;Lyella Pallavicinia lyellii;;scisla;;;;Dz.U. 2014 poz. 1409;
1;55;WĄTROBOWCE (MARCHANTIOPHYTA);parzochowate (Porellaceae);parzoch pieprzowy;Porella arboris-vitae;;scisla;;;;Dz.U. 2014 poz. 1409;
1;56;WĄTROBOWCE (MARCHANTIOPHYTA);parzochowate (Porellaceae);parzoch szerokolistny;Porella platyphylla;;scisla;;;;Dz.U. 2014 poz. 1409;
1;57;WĄTROBOWCE (MARCHANTIOPHYTA);płożykowate (Geocalycaceae);płozikowiec tarczkowaty;Harpanthus scutatus;;scisla;;;;Dz.U. 2014 poz. 1409;
1;58;WĄTROBOWCE (MARCHANTIOPHYTA);płożykowate (Geocalycaceae);płożyk wonny;Geocalyx graveolens;;scisla;;;;Dz.U. 2014 poz. 1409;
1;59;WĄTROBOWCE (MARCHANTIOPHYTA);wgłębkowate (Ricciaceae);wgłębka Hübenera;Riccia huebeneriana;;scisla;;;;Dz.U. 2014 poz. 1409;
1;60;WĄTROBOWCE (MARCHANTIOPHYTA);wgłębkowate (Ricciaceae);wgłębka rzęsista;Riccia ciliifera;;scisla;1;1;;Dz.U. 2014 poz. 1409;
