ZALACZNIK;LP;GROMADA;RZAD;NAZWA_PL;NAZWA_LAT;SYNONIM;OCHRONA;OCHRONA_CZYNNA;ADNOTACJE;ZRODLO;WERYFIKACJA
1;1;SSAKI (MAMMALIA);PARZYSTOKOPYTNE (ARTIODACTYLA);kozica;Rupicapra rupicapra;;scisla;1;1;Dz.U. 2016 poz. 2183;
1;2;SSAKI (MAMMALIA);PARZYSTOKOPYTNE (ARTIODACTYLA);żubr;Bison bonasus;;scisla;1;1;Dz.U. 2016 poz. 2183;
1;3;SSAKI (MAMMALIA);DRAPIEŻNE (CARNIVORA);wilk;Canis lupus;;scisla;1;1;Dz.U. 2016 poz. 2183;
1;4;SSAKI (MAMMALIA);DRAPIEŻNE (CARNIVORA);żbik;Felis silvestris;;scisla;1;1;Dz.U. 2016 poz. 2183;
1;5;SSAKI (MAMMALIA);DRAPIEŻNE (CARNIVORA);ryś;Lynx lynx;;scisla;1;1;Dz.U. 2016 poz. 2183;
1;6;SSAKI (MAMMALIA);DRAPIEŻNE (CARNIVORA);tchórz stepowy;Mustela eversmanni;;scisla;;1;Dz.U. 2016 poz. 2183;
1;7;SSAKI (MAMMALIA);DRAPIEŻNE (CARNIVORA);norka europejska;Mustela lutreola;;scisla;;1;Dz.U. 2016 poz. 2183;
1;8;SSAKI (MAMMALIA);DRAPIEŻNE (CARNIVORA);niedźwiedź brunatny;Ursus arctos;;scisla;1;1;Dz.U. 2016 poz. 2183;
1;9;SSAKI (MAMMALIA);DRAPIEŻNE (CARNIVORA);foka szara;Halichoerus grypus;;scisla;;1;Dz.U. 2016 poz. 2183;
1;10;SSAKI (MAMMALIA);DRAPIEŻNE (CARNIVORA);foka obrączkowana;Phoca hispida;;scisla;;1;Dz.U. 2016 poz. 2183;
1;11;SSAKI (MAMMALIA);DRAPIEŻNE (CARNIVORA);foka pospolita;Phoca vitulina;;scisla;;1;Dz.U. 2016 poz. 2183;
1;12;SSAKI (MAMMALIA);WALENIE (CETACEA);morświn;Phocoena phocoena;;scisla;1;1;Dz.U. 2016 poz. 2183;
1;13;SSAKI (MAMMALIA);WALENIE (CETACEA);WALENIE - pozostałe gatunki;;;scisla;;1;Dz.U. 2016 poz. 2183;pozycja zbiorcza, brak nazwy naukowej w akcie
1;14;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);podkowiec duży;Rhinolophus ferrumequinum;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;15;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);podkowiec mały;Rhinolophus hipposideros;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;16;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);mopek zachodni;Barbastella barbastellus;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;17;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);mroczek pozłocisty;Eptesicus nilssonii;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;18;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);mroczek późny;Eptesicus serotinus;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;19;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);przymroczek Saviego;Hypsugo savii;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;20;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);nocek Alkatoe;Myotis alcathoe;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;21;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);nocek Bechsteina;Myotis bechsteinii;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;22;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);nocek Brandta;Myotis brandtii;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;23;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);nocek łydkowłosy;Myotis dasycneme;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;24;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);nocek rudy;Myotis daubentonii;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;25;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);nocek orzęsiony;Myotis emarginatus;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;26;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);nocek duży;Myotis myotis;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;27;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);nocek wąsatek;Myotis mystacinus;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;28;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);nocek Natterera;Myotis nattereri;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;29;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);nocek ostrouszny;Myotis oxygnathus;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;30;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);borowiec olbrzymi;Nyctalus lasiopterus;;scisla;;13;Dz.U. 2016 poz. 2183;
1;31;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);borowiaczek;Nyctalus leisleri;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;32;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);borowiec wielki;Nyctalus noctula;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;33;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);karlik średni;Pipistrellus kuhlii;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;34;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);karlik większy;Pipistrellus nathusii;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;35;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);karlik malutki;Pipistrellus pipistrellus;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;36;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);karlik drobny;Pipistrellus pygmaeus;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;37;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);gacek brunatny;Plecotus auritus;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;38;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);gacek szary;Plecotus austriacus;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;39;SSAKI (MAMMALIA);NIETOPERZE (CHIROPTERA);mroczek posrebrzany;Vespertilio murinus;;scisla;1;13;Dz.U. 2016 poz. 2183;
1;40;SSAKI (MAMMALIA);ZAJĄCOKSZTAŁTNE (LAGOMORPHA);bielak;Lepus timidus;;scisla;;1;Dz.U. 2016 poz. 2183;
1;41;SSAKI (MAMMALIA);GRYZONIE (RODENTIA);nornik śnieżny;Chionomys nivalis;;scisla;;1;Dz.U. 2016 poz. 2183;
1;42;SSAKI (MAMMALIA);GRYZONIE (RODENTIA);darniówka tatrzańska;Microtus tatricus;;scisla;;1;Dz.U. 2016 poz. 2183;
1;43;SSAKI (MAMMALIA);GRYZONIE (RODENTIA);chomik europejski;Cricetus cricetus;;scisla;1;1;Dz.U. 2016 poz. 2183;
1;44;SSAKI (MAMMALIA);GRYZONIE (RODENTIA);smużka leśna;Sicista betulina;;scisla;;1;Dz.U. 2016 poz. 2183;
1;45;SSAKI (MAMMALIA);GRYZONIE (RODENTIA);smużka stepowa;Sicista subtilis;;scisla;;1;Dz.U. 2016 poz. 2183;
1;46;SSAKI (MAMMALIA);GRYZONIE (RODENTIA);koszatka;Dryomys nitedula;;scisla;1;1;Dz.U. 2016 poz. 2183;
1;47;SSAKI (MAMMALIA);GRYZONIE (RODENTIA);żołędnica;Eliomys quercinus;;scisla;1;1;Dz.U. 2016 poz. 2183;
1;48;SSAKI (MAMMALIA);GRYZONIE (RODENTIA);orzesznica;Muscardinus avellanarius;;scisla;;1;Dz.U. 2016 poz. 2183;
1;49;SSAKI (MAMMALIA);GRYZONIE (RODENTIA);świstak tatrzański;Marmota marmota latirostris;;scisla;;1;Dz.U. 2016 poz. 2183;
1;50;SSAKI (MAMMALIA);GRYZONIE (RODENTIA);suseł moręgowany;Spermophilus citellus;;scisla;1;1;Dz.U. 2016 poz. 2183;
