POZIOM;NAZWA_LAT;NAZWA_PL;PROG_5;GRUPA_STAWKI;GRUPA_KRZEWY;POMNIK_130;ZWOLN_130;OWOCOWE;IGO;OCHRONA;ZRODLO;WERYFIKACJA
gatunek;Populus alba;topola biała;80;1;;300;120;;;;83f/1330/2300/86;
gatunek;Populus tremula;topola osika;80;1;;200;120;;;;83f/1330/2300/86;
gatunek;Populus nigra;topola czarna;80;1;;350;120;;;;83f/1330/2300/86;
rodzaj;Populus;topola;80;1;;350;120;;;;83f/1330/2300/86;
gatunek;Salix alba;wierzba biała;80;1;;300;120;;;;83f/1330/2300/86;
gatunek;Salix fragilis;wierzba krucha;80;1;;300;120;;;;83f/1330/2300/86;
gatunek;Salix caprea;wierzba iwa;80;1;;150;120;;;;83f/1330/2300/86;
gatunek;Salix pentandra;wierzba pięciopręcikowa;80;1;;200;120;;;;83f/1330/2300/86;
gatunek;Salix myrtilloides;wierzba borówkolistna;80;1;;;120;;;scisla;83f/1409;zał.1 poz. ok. 392, numer niepewny
gatunek;Salix lapponum;wierzba lapońska;80;1;;;120;;;scisla;83f/1409;zał.1 poz. ok. 393, numer niepewny
rodzaj;Salix;wierzba;80;1;;;120;;;;83f/1330/86;
gatunek;Acer negundo;klon jesionolistny;80;1;;;120;;;;83f/1330/86;inwazyjny przyrodniczo, bez statusu prawnego IGO
gatunek;Acer saccharinum;klon srebrzysty;80;1;;;120;;;;83f/1330/86;
gatunek;Aesculus hippocastanum;kasztanowiec zwyczajny;65;1;;250;120;;;;83f/1330/2300/86;
gatunek;Robinia pseudoacacia;robinia akacjowa;65;1;;;120;;;;83f/1330/86;
gatunek;Platanus hispanica;platan klonolistny;65;1;;300;120;;;;83f/1330/2300/86;
rodzaj;Platanus;platan;65;1;;300;120;;;;83f/1330/2300/86;
rodzaj;Aesculus;kasztanowiec (pozostałe);50;2;;;80;;;;1330;
rodzaj;Betula;brzoza;50;2;;;80;;;;1330;
gatunek;Betula pendula;brzoza brodawkowata;50;2;;200;80;;;;1330/2300;
gatunek;Betula pubescens;brzoza omszona;50;2;;200;80;;;;1330/2300;
gatunek;Betula nana;brzoza karłowata;50;2;;;80;;;scisla;1409;ochrona czynna (1), bez odstępstwa (3)
gatunek;Betula humilis;brzoza niska;50;2;;;80;;;scisla;1409;ochrona czynna (1), bez odstępstwa (3)
