LP;GROMADA;RODZINA;NAZWA_PL;NAZWA_LAT;STREFA;ZRODLO;WERYFIKACJA
1;PAPROTNIKI (PTERIDOPHYTA);poryblinowate (Isoëtaceae);poryblin kolczasty;Isoëtes echinospora;Cały zbiornik wodny, w którym występuje.;Dz.U. 2014 poz. 1409;
2;PAPROTNIKI (PTERIDOPHYTA);rozpłochowate (Hymenophyllaceae);włosocień delikatny;Trichomanes speciosum;Stanowisko wraz z ostoją o promieniu do 100 m od granic stanowiska.;Dz.U. 2014 poz. 1409;
3;PAPROTNIKI (PTERIDOPHYTA);zanokcicowate (Aspleniaceae);zanokcica ciemna;Asplenium adiantum-nigrum;Stanowisko wraz z ostoją o promieniu do 30 m od granic stanowiska.;Dz.U. 2014 poz. 1409;
4;PAPROTNIKI (PTERIDOPHYTA);zanokcicowate (Aspleniaceae);zanokcica klinowata;Asplenium cuneifolium;Stanowisko wraz z z ostoją o promieniu do 30 m od granic stanowiska.;Dz.U. 2014 poz. 1409;
5;PAPROTNIKI (PTERIDOPHYTA);zanokcicowate (Aspleniaceae);zanokcica serpentynowa;Asplenium adulterinum;Stanowisko wraz z ostoją o promieniu do 30 m od granic stanowiska.;Dz.U. 2014 poz. 1409;
6;NASIENNE (SPERMATOPHYTA);krzyżowe (Brassicaceae);warzucha polska;Cochlearia polonica;Stanowisko wraz z ostoją o promieniu do 50 m od granic stanowiska.;Dz.U. 2014 poz. 1409;
7;NASIENNE (SPERMATOPHYTA);liliowate (Liliaceae);ciemiężyca (ciemierzyca) czarna;Veratrum nigrum;Stanowisko wraz z ostoją o promieniu do 50 m od granic stanowiska.;Dz.U. 2014 poz. 1409;
8;NASIENNE (SPERMATOPHYTA);rosiczkowate (Droseraceae);aldrowanda pęcherzykowata;Aldrovanda vesiculosa;Cały zbiornik wodny, w którym występuje.;Dz.U. 2014 poz. 1409;
9;NASIENNE (SPERMATOPHYTA);storczykowate (Orchidaceae);kukuczka kapturkowata;Neottianthe cucullata;Stanowisko wraz z ostoją o promieniu do 100 m od granic stanowiska.;Dz.U. 2014 poz. 1409;
10;NASIENNE (SPERMATOPHYTA);storczykowate (Orchidaceae);miodokwiat krzyżowy;Herminium monorchis;Całe torfowisko, na którym występuje.;Dz.U. 2014 poz. 1409;
11;NASIENNE (SPERMATOPHYTA);zabieńcowate (Alismataceae);elisma wodna;Luronium natans;Cały zbiornik wodny, w którym występuje.;Dz.U. 2014 poz. 1409;
12;NASIENNE (SPERMATOPHYTA);zabieńcowate (Alismataceae);kaldezja dziewięciornikowata;Caldesia parnassifolia;Cały zbiornik wodny, w którym występuje, wraz z ostoją o promieniu do 50 m od granic stanowiska.;Dz.U. 2014 poz. 1409;
