GATUNEK;NAZWA_ZRODLOWA;RANGA;POWOD;GBIF_KEY;PROPOZYCJA;DECYZJA
Achillea;Achillea;GENUS;dopasowanie RODZAJ_OK;3119995;;
Achillea collna;Achillea collna;SPECIES;dopasowanie ALTERNATYWA;7767460;;
Achillea stricta;Achillea stricta;SPECIES;dopasowanie ALTERNATYWA;9727470;;
Achillea sudetica;Achillea sudetica;SPECIES;brak w tabeli dopasowań;;;
Aethusa cynapium subsp. segetalis;Aethusa cynapium ssp. segetalis;SUBSPECIES;brak w tabeli dopasowań;;;
Agropyron caninum;Agropyron caninum;SPECIES;brak w tabeli dopasowań;;;
Agrostis;Agrostis;GENUS;dopasowanie RODZAJ_OK;2706434;;
Alchemilla;Alchemilla;GENUS;dopasowanie RODZAJ_OK;3027437;;
Alchemilla acutiloba;Alchemilla acutiloba;SPECIES;dopasowanie ALTERNATYWA;3028926;;
Allium senescens subsp. montanum;Allium senescens ssp. montanum;SUBSPECIES;brak w tabeli dopasowań;;;
Allium vinceale;Allium vinceale;SPECIES;dopasowanie ALTERNATYWA;7792960;;
Alnus viridis;Alnus viridis;SPECIES;brak w tabeli dopasowań;;;
Althea officinalis;Althea officinalis;SPECIES;dopasowanie ALTERNATYWA;3152520;;
Amaranthus;Amaranthus;GENUS;dopasowanie RODZAJ_OK;3085074;;
Amaranthus lividus;Amaranthus lividus;SPECIES;dopasowanie ALTERNATYWA;8911082;;
Ammophila arenaria;Ammophila arenaria;SPECIES;brak w tabeli dopasowań;;;
Anagallis arvensis;Anagallis arvensis;SPECIES;brak w tabeli dopasowań;;;
Anagallis arvesis;Anagallis arvesis;SPECIES;dopasowanie ALTERNATYWA;9631539;;
Anagallis foemina;Anagallis foemina;SPECIES;brak w tabeli dopasowań;;;
Anchusa arvensis;Anchusa arvensis;SPECIES;brak w tabeli dopasowań;;;
Angelica archangelica subsp. archangelica;Angelica archangelica ssp. archangelica;SUBSPECIES;brak w tabeli dopasowań;;;
Angelica archangelica subsp. litoralis;Angelica archangelica ssp. litoralis;SUBSPECIES;brak w tabeli dopasowań;;;
Angelica silvestris;Angelica silvestris;SPECIES;dopasowanie ALTERNATYWA;5371818;;
Angelica sylvestris;Angelica sylvestris;SPECIES;dopasowanie ALTERNATYWA;5371818;;
Anserina argentina;Anserina argentina;SPECIES;brak w tabeli dopasowań;;;
Antchemis arvensis;Antchemis arvensis;SPECIES;dopasowanie ALTERNATYWA;3102781;;
Antchemis cotula;Antchemis cotula;SPECIES;dopasowanie ALTERNATYWA;8035698;;
Antchemis ruthenica;Antchemis ruthenica;SPECIES;dopasowanie ALTERNATYWA;3102823;;
Antchemis tinctoria;Antchemis tinctoria;SPECIES;dopasowanie ALTERNATYWA;7066062;;
Anthemis arvensis;Anthemis arvensis;SPECIES;dopasowanie ALTERNATYWA;3102781;;
Anthemis ruthenica;Anthemis ruthenica;SPECIES;dopasowanie ALTERNATYWA;3102823;;
