KLUCZ;NAZWA_ZRODLOWA;ILE_SKLEJONYCH;DECYZJA
achillea millefolium;Achillea millefolium;2;
achillea millefolium;Achillea millefolium s.l.;2;
agrostis canina;Agrostis canina;2;
agrostis canina;Agrostis canina s.str.;2;
agrostis stolonifera;Agrostis stolonifera;2;
agrostis stolonifera;Agrostis stolonifera s.l.;2;
anthoxanthum odoratum;Anthoxanthum odoratum;2;
anthoxanthum odoratum;Anthoxanthum odoratum s.str.;2;
bellidiastrum michelii;Bellidiastrum michelii;2;
bellidiastrum michelii;Bellidiastrum michelii orth.var.;2;
betula pubescens;Betula pubescens;2;
betula pubescens;Betula pubescens s.s.;2;
calammophila baltica;Calammophila baltica;2;
calammophila baltica;×Calammophila baltica;2;
caltha palustris;Caltha palustris;3;
caltha palustris;Caltha palustris s.l.;3;
caltha palustris;Caltha palustris s.s.;3;
cardamine amara;Cardamine amara;2;
cardamine amara;Cardamine amara s.s.;2;
carex atrata;Carex atrata;2;
carex atrata;Carex atrata s.str.;2;
carex buxbaumii;Carex buxbaumii agg.;2;
carex buxbaumii;Carex buxbaumii s.l.;2;
carex pendula;Carex pendula;2;
carex pendula;Carex pendula s.l.;2;
carex sempervirens;Carex sempervirens;2;
carex sempervirens;Carex sempervirens s.l.;2;
carlina vulgaris;Carlina vulgaris;2;
carlina vulgaris;Carlina vulgaris s.str.;2;
cerastium pumilum;Cerastium pumilum s.s;2;
cerastium pumilum;Cerastium pumilum s.str.;2;
chenopodium album;Chenopodium album;2;
chenopodium album;Chenopodium album s.str.;2;
crepis mollis;Crepis mollis;2;
crepis mollis;Crepis mollis s.str.;2;
dactylorhiza majalis;Dactylorhiza majalis;2;
dactylorhiza majalis;Dactylorhiza majalis s.l.;2;
dryopteris dilatata;Dryopteris dilatata agg.;2;
dryopteris dilatata;Dryopteris dilatata s.s.;2;
eleocharis mamillata;Eleocharis mamillata;2;
eleocharis mamillata;Eleocharis mamillata s.s.;2;
epipactis helleborine;Epipactis helleborine;2;
epipactis helleborine;Epipactis helleborine s.str.;2;
fagus sylvatica;Fagus sylvatica;2;
fagus sylvatica;Fagus sylvatica s.str.;2;
festuca ovina;Festuca ovina;3;
festuca ovina;Festuca ovina agg.;3;
festuca ovina;Festuca ovina s.s.;3;
festuca rubra;Festuca rubra;2;
festuca rubra;Festuca rubra agg.;2;
ficaria verna;Ficaria verna;2;
ficaria verna;Ficaria verna s.l.;2;
galeobdolon luteum;Galeobdolon luteum;2;
galeobdolon luteum;Galeobdolon luteum s.l.;2;
galium mollugo;Galium mollugo;3;
galium mollugo;Galium mollugo s.i.;3;
galium mollugo;Galium mollugo s.str.;3;
galium verum;Galium verum;2;
galium verum;Galium verum s.str.;2;
gentiana verna;Gentiana verna;2;
gentiana verna;Gentiana verna s.l.;2;
hieracium alpinum;Hieracium alpinum;2;
hieracium alpinum;Hieracium alpinum agg.;2;
hieracium bupleuroides;Hieracium bupleuroides;2;
hieracium bupleuroides;Hieracium bupleuroides agg.;2;
hieracium nigrescens;Hieracium nigrescens;2;
hieracium nigrescens;Hieracium nigrescens agg.;2;
juniperus communis;Juniperus communis;2;
juniperus communis;Juniperus communis s.s.;2;
larix decidua;Larix decidua;2;
larix decidua;Larix decidua s.s.;2;
lathraea squamaria;Lathraea squamaria;2;
lathraea squamaria;Lathraea squamaria s.l.;2;
leontodon autumnalis;Leontodon autumnalis;2;
