NAZWA_A;NAZWA_B;PODOBIENSTWO;POZIOM;DECYZJA
Achillea collina;Achillea collna;0.968;ten sam rodzaj;
Agrostis alpina;Agrostis canina;0.867;ten sam rodzaj;
Althaea;Althea;0.923;nazwa rodzajowa;
Anagallis arvensis;Anagallis arvesis;0.971;ten sam rodzaj;
Angelica silvestris;Angelica sylvestris;0.947;ten sam rodzaj;
Antchemis;Anthemis;0.941;nazwa rodzajowa;
Arabis hirsuta;Arabis hursuta;0.929;ten sam rodzaj;
Asplenium ruta-muraria;Asplenium ruta-muriria;0.955;ten sam rodzaj;
Astragalus glycyphllos;Astragalus glycyphyllos;0.978;ten sam rodzaj;
Atropa bella-donna;Atropa belladonna;0.971;ten sam rodzaj;
Baeothryon;Baeotryon;0.947;nazwa rodzajowa;
Bellis parennis;Bellis perennis;0.933;ten sam rodzaj;
Bolboschoenus;Bulboschoenus;0.923;nazwa rodzajowa;
Bromus racemosus;Bromus ramosus;0.933;ten sam rodzaj;
Bupleurum longifolium;Bupleurum rotundifolium;0.864;ten sam rodzaj;
Calamagrostis;Calamegrostis;0.923;nazwa rodzajowa;
Calamagrostis epigeios;Calamagrostis epigejos;0.955;ten sam rodzaj;
Campanula patula;Campanula platula;0.97;ten sam rodzaj;
Campanula rapunculoides;Campanula raunculoides;0.978;ten sam rodzaj;
Campanula scheichzeri;Campanula scheuchzeri;0.952;ten sam rodzaj;
Cardamine pratensis;Cardamine praternsis;0.974;ten sam rodzaj;
Cardamine recedifolia;Cardamine resedifolia;0.952;ten sam rodzaj;
Cardamine recedifolia;Cardamine trifolia;0.872;ten sam rodzaj;
Cardamine resedifolia;Cardamine trifolia;0.872;ten sam rodzaj;
Carex capiiaris;Carex capillaris;0.903;ten sam rodzaj;
Carex cuprina;Carex supina;0.88;ten sam rodzaj;
Carex elata;Carex elongata;0.88;ten sam rodzaj;
Carex ericetorum;Carex ericetrum;0.968;ten sam rodzaj;
Carex flacca;Carex flava;0.87;ten sam rodzaj;
Carex pairae;Carex piarae;0.917;ten sam rodzaj;
Carex pallens;Carex pallescens;0.897;ten sam rodzaj;
Carex parviflora;Carex pauciflora;0.875;ten sam rodzaj;
Carex supina;Carex vulpina;0.88;ten sam rodzaj;
Centaurea triumfetti;Centaurea triumfettii;0.976;ten sam rodzaj;
Centaurium litorale;Centaurium littorale;0.974;ten sam rodzaj;
Cerastium cerastodes;Cerastium cerastoides;0.976;ten sam rodzaj;
Ceratophyllum demersum;Ceratophyllum submersum;0.889;ten sam rodzaj;
Chenopodium botryodes;Chenopodium botrys;0.923;ten sam rodzaj;
Chenopodium rubrum;Chenopodium rurbrum;0.973;ten sam rodzaj;
Chenopodium rubrum;Chenopodium urbicum;0.865;ten sam rodzaj;
Chenopodium rurbrum;Chenopodium urbicum;0.895;ten sam rodzaj;
Chenopodium strictum;Chenopodium urbicum;0.872;ten sam rodzaj;
Chenopodium suecicum;Chenopodium urbicum;0.872;ten sam rodzaj;
Cirsium rivulare;Cirsium vulgare;0.903;ten sam rodzaj;
Coeloglossum viride;Coeloglossum vride;0.973;ten sam rodzaj;
Conringa;Conringia;0.941;nazwa rodzajowa;
Cotoneaster integerrimus;Cotoneaster integrrimus;0.979;ten sam rodzaj;
Crataegus rhipidophyll;Crataegus rhipidophylla;0.978;ten sam rodzaj;
Cuynoglossum;Cynoglossum;0.957;nazwa rodzajowa;
Dendranthema;Dendranttthema;0.923;nazwa rodzajowa;
Dentaria eneeaphyllos;Dentaria enneaphyllos;0.952;ten sam rodzaj;
Deschampsia caespitosa;Deschampsia cespitosa;0.977;ten sam rodzaj;
Dianthus carthusianorum;Dianthus cathusianorum;0.978;ten sam rodzaj;
Dianthus suoerbus;Dianthus superbus;0.941;ten sam rodzaj;
Dicranum scoparium;Dicranum spurium;0.882;ten sam rodzaj;
Digitaria ischaemum;Digitaria ischemum;0.973;ten sam rodzaj;
Diphasiastrum issleri;Diphasiastrum zeilleri;0.884;ten sam rodzaj;
Draba aizodes;Draba aizoides;0.963;ten sam rodzaj;
Echium russicucum;Echium russicum;0.938;ten sam rodzaj;
Epilobium alpestre;Epilobium palustre;0.889;ten sam rodzaj;
Eriophorum angustifolium;Eriophorum latifolium;0.889;ten sam rodzaj;
Eruysimum;Erysimum;0.941;nazwa rodzajowa;
Euonymous;Euonymus;0.941;nazwa rodzajowa;
Eupatorium cannabinum;Eupatorium cannabium;0.976;ten sam rodzaj;
Euphorbia lucida;Euphorbia luicida;0.97;ten sam rodzaj;
Euphorbia villosa;Euphorbia virgultosa;0.865;ten sam rodzaj;
Euphrasia picta;Euphrasia stricta;0.875;ten sam rodzaj;
Fagus sylatica;Fagus sylvatica;0.966;ten sam rodzaj;
Fallopia convolvulus;Fallopia cpnvolvulus;0.95;ten sam rodzaj;
Festuca airodes;Festuca airoides;0.968;ten sam rodzaj;
Festuca polesica;Festuca valesica;0.875;ten sam rodzaj;
Festuca valesiaca;Festuca valesica;0.97;ten sam rodzaj;
Filago arvensis;Filago avensis;0.966;ten sam rodzaj;
Filipendula ulmaria;Filipendula vulgaris;0.872;ten sam rodzaj;
Gagea pratensis;Gagea pretensis;0.933;ten sam rodzaj;
Gentiana figida;Gentiana frigida;0.968;ten sam rodzaj;
Gladiolus imbricatum;Gladiolus imbricatus;0.95;ten sam rodzaj;
Gratiola offcinalis;Gratiola officinalis;0.974;ten sam rodzaj;
Haracleum;Heracleum;0.889;nazwa rodzajowa;
Hieracium;Hiercium;0.941;nazwa rodzajowa;
Hieracium atratum;Hieracium barbatum;0.914;ten sam rodzaj;
Hieracium caesium;Hieracium caespitosum;0.895;ten sam rodzaj;
Hieracium umbellatum;Hieracium unbellatum;0.95;ten sam rodzaj;
Hyoscyamnus;Hyoscyamus;0.952;nazwa rodzajowa;
Hypericum terapterum;Hypericum tetrapterum;0.976;ten sam rodzaj;
Hypochaeris;Hypochoeris;0.909;nazwa rodzajowa;
