GATUNEK;NAZWA_PL;SKROT;ROZBIEZNOSC;SLOWNIK_CHRONIONY;SLOWNIK_IGO;PRAWO_OCHRONA;PRAWO_IGO;ZRODLO_PRAWO;DECYZJA
Allium angulosum;czosnek kątowaty;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Aquilegia vulgaris;;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Aruncus sylvestris;parzydło leśne;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Azolla filiculoides;azolla paprotkowa;;IGO: słownik NIE, jest na liście z Dz.U. (PL_szeroka);NIE;NIE;;PL_szeroka;2649;
Betula humilis;brzoza niska;;ochrona: słownik NIE, jest w rozporządzeniu (scisla);NIE;NIE;scisla;;1409 + 1330;
Betula nana;brzoza karłowata;;ochrona: słownik NIE, jest w rozporządzeniu (scisla);NIE;NIE;scisla;;1409 + 1330;
Betula oycoviensis;;;ochrona: słownik NIE, jest w rozporządzeniu (scisla);NIE;NIE;scisla;;1409 + 1330;
Botrychium lunaria;podejźrzon księżycowy;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Campanula bononiensis;dzwonek boloński;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Carex arenaria;turzyca piaskowa;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Carex divulsa;;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Centaurium erythraea;centuria pospolita;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Centaurium pulchellum;centuria nadobna;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Cerasus fruticosa;wiśnia karłowata;;ochrona: słownik NIE, jest w rozporządzeniu (czesciowa);NIE;NIE;czesciowa;;1409;
Chamaedaphne calyculata;chamedafne północna;;ochrona: słownik NIE, jest w rozporządzeniu (scisla);NIE;NIE;scisla;;1409;
Cimicifuga europaea;;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Dactylorhiza arnata;;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Dactylorhiza majalis;;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Daphne cneorum;wawrzynek główkowy;;ochrona: słownik NIE, jest w rozporządzeniu (scisla);NIE;NIE;scisla;;1409;
Daphne mezereum;wawrzynek wilczełyko;;ochrona: słownik NIE, jest w rozporządzeniu (czesciowa);NIE;NIE;czesciowa;;1409;
Dianthus arenarius;goździk piaskowy;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Dianthus superbus;;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Digitalis grandiflora;naparstnica zwyczajna;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Drosera intermedia;rosiczka pośrednia;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Drosera rotundifolia;rosiczka okrągłolistna;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Elatine alsinastrum;nadwodnik okółkowy;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Empetrum nigrum;bażyna czarna;;ochrona: słownik NIE, jest w rozporządzeniu (czesciowa);NIE;NIE;czesciowa;;1409;
Epipactis helleborine;;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Epipactis palustris;kruszczyk błotny;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Erica tetralix;wrzosiec bagienny;;ochrona: słownik NIE, jest w rozporządzeniu (scisla);NIE;NIE;scisla;;1409;
Gentiana pneumonanthe;goryczka wąskolistna;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Gentianella uliginosa;goryczuszka błotna;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Gladiolus imbricatus;mieczyk dachówkowaty;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Helichrysum arenarium;kocanki piaskowe;hea;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Hierochloe australis;;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Hierochloe odorata;;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Hippophae rhamnoides;rokitnik zwyczajny;hir;ochrona: słownik NIE, jest w rozporządzeniu (czesciowa);NIE;NIE;czesciowa;;1330/2300/1409;
Iris sibirica;kosaciec syberyjski;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Jovibarba sobolifera;rojownik pospolity;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Lathyrus palustris;groszek błotny;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Ledum palustre;bagno zwyczajne;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Linnaea borealis;zimoziół północny;;ochrona: słownik NIE, jest w rozporządzeniu (czesciowa);NIE;NIE;czesciowa;;1409;
Listera ovata;;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Lycopodiella inundata;widłaczek torfowy;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Lycopodium annotinum;kolcowidłak jałowcowaty;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Lycopodium clavatum;widłak goździsty;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Lythrum hyssopifolia;krwawnica wąskolistna;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Melampyrum cristatum;pszeniec grzebieniasty;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Menyanthes trifoliata;bobrek trójlistkowy;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Moneses uniflora;gruszycznik jednokwiatowy;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Nasturtium officinale;rukiew wodna;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Neottia nidus-avis;gnieźnik leśny;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Nymphaea alba;grzybienie białe;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Nymphaea candida;grzybienie północne;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Ononis spinosa;;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Ophioglossum vulgatum;nasięźrzał pospolity;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Pedicularis palustris;gnidosz błotny;;ochrona: słownik TAK, brak w rozporządzeniu;TAK;NIE;;;domyślne (art. 83f pkt 3 lit. c, gr. 5 i 2);
Pinus cembra;sosna limba;;ochrona: słownik NIE, jest w rozporządzeniu (czesciowa);NIE;NIE;czesciowa;;1330/2300/1409 + 1330;
Pinus mugo;sosna górska;;ochrona: słownik NIE, jest w rozporządzeniu (czesciowa);NIE;NIE;czesciowa;;1409 + 1330;
